danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.631,0.804,1,-7.75,0,0.0344,0.00342,0.131,0.209,0.328,129.021,audio_features,4RmjlmdNRXdSZs9cYiqcBS,spotify:track:4RmjlmdNRXdSZs9cYiqcBS,https://api.spotify.com/v1/tracks/4RmjlmdNRXdSZs9cYiqcBS,https://api.spotify.com/v1/audio-analysis/4RmjlmdNRXdSZs9cYiqcBS,183473,3
0.877,0.866,9,-7.104,0,0.1,0.0162,0.627,0.323,0.504,119.968,audio_features,1jAAv68G63cvQJKfwlOqtJ,spotify:track:1jAAv68G63cvQJKfwlOqtJ,https://api.spotify.com/v1/tracks/1jAAv68G63cvQJKfwlOqtJ,https://api.spotify.com/v1/audio-analysis/1jAAv68G63cvQJKfwlOqtJ,168000,4
0.655,0.684,0,-5.18,1,0.0269,0.197,0.0036,0.278,0.27,110.037,audio_features,4nraNqonMyfc0U3o8VeXVu,spotify:track:4nraNqonMyfc0U3o8VeXVu,https://api.spotify.com/v1/tracks/4nraNqonMyfc0U3o8VeXVu,https://api.spotify.com/v1/audio-analysis/4nraNqonMyfc0U3o8VeXVu,174002,4
0.331,0.765,1,-6.789,1,0.0298,0.000421,0.879,0.109,0.0923,171.455,audio_features,2YZ7CJV3Q1OGh7ZL9PYWcP,spotify:track:2YZ7CJV3Q1OGh7ZL9PYWcP,https://api.spotify.com/v1/tracks/2YZ7CJV3Q1OGh7ZL9PYWcP,https://api.spotify.com/v1/audio-analysis/2YZ7CJV3Q1OGh7ZL9PYWcP,149522,4
0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,audio_features,1BJJbSX6muJVF2AK7uH1x4,spotify:track:1BJJbSX6muJVF2AK7uH1x4,https://api.spotify.com/v1/tracks/1BJJbSX6muJVF2AK7uH1x4,https://api.spotify.com/v1/audio-analysis/1BJJbSX6muJVF2AK7uH1x4,177599,4
0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,audio_features,0b18g3G5spr4ZCkz7Y6Q0Q,spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q,https://api.spotify.com/v1/tracks/0b18g3G5spr4ZCkz7Y6Q0Q,https://api.spotify.com/v1/audio-analysis/0b18g3G5spr4ZCkz7Y6Q0Q,186210,4
0.877,0.866,9,-7.104,0,0.1,0.0162,0.627,0.323,0.504,119.968,audio_features,1jAAv68G63cvQJKfwlOqtJ,spotify:track:1jAAv68G63cvQJKfwlOqtJ,https://api.spotify.com/v1/tracks/1jAAv68G63cvQJKfwlOqtJ,https://api.spotify.com/v1/audio-analysis/1jAAv68G63cvQJKfwlOqtJ,168000,4
0.655,0.684,0,-5.18,1,0.0269,0.197,0.0036,0.278,0.27,110.037,audio_features,4nraNqonMyfc0U3o8VeXVu,spotify:track:4nraNqonMyfc0U3o8VeXVu,https://api.spotify.com/v1/tracks/4nraNqonMyfc0U3o8VeXVu,https://api.spotify.com/v1/audio-analysis/4nraNqonMyfc0U3o8VeXVu,174002,4
0.631,0.804,1,-7.75,0,0.0344,0.00342,0.131,0.209,0.328,129.021,audio_features,4RmjlmdNRXdSZs9cYiqcBS,spotify:track:4RmjlmdNRXdSZs9cYiqcBS,https://api.spotify.com/v1/tracks/4RmjlmdNRXdSZs9cYiqcBS,https://api.spotify.com/v1/audio-analysis/4RmjlmdNRXdSZs9cYiqcBS,183473,3
0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,audio_features,3WOhcATHxK2SLNeP5W3v1v,spotify:track:3WOhcATHxK2SLNeP5W3v1v,https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v,https://api.spotify.com/v1/audio-analysis/3WOhcATHxK2SLNeP5W3v1v,145219,4
