danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,category
0.701,0.556,6,-6.069,0,0.273,0.176,0.0,0.0555,0.72,92.509,190968,4,Brazilian Funk
0.591,0.407,11,-8.555,0,0.0646,0.73,0.000163,0.112,0.0903,79.894,228000,4,Brazilian Funk
0.848,0.713,2,-4.145,1,0.292,0.354,0.0,0.0637,0.776,147.005,237911,4,Brazilian Funk
0.889,0.821,8,-2.415,1,0.184,0.265,0.0,0.0949,0.732,90.014,573334,4,Brazilian Funk
0.802,0.52,0,-6.973,1,0.253,0.447,0.0,0.0942,0.956,160.054,162046,4,Brazilian Funk
0.715,0.411,8,-8.585,1,0.309,0.162,0.0,0.104,0.585,82.452,279000,3,Brazilian Funk
0.777,0.861,8,-2.13,1,0.336,0.156,0.0,0.0992,0.844,169.867,160941,4,Brazilian Funk
0.827,0.641,7,-7.763,0,0.2,0.135,0.0,0.114,0.713,134.996,185111,4,Brazilian Funk
0.652,0.556,6,-7.672,0,0.518,0.336,1.13e-06,0.0755,0.64,114.591,510698,5,Brazilian Funk
0.662,0.456,5,-5.329,0,0.104,0.347,0.0,0.134,0.658,106.858,293647,5,Brazilian Funk
0.599,0.5,0,-3.588,1,0.447,0.871,0.000212,0.144,0.539,165.06,176235,5,Brazilian Funk
0.714,0.911,10,-5.097,0,0.262,0.0939,0.0492,0.304,0.66,130.069,92192,4,Brazilian Funk
0.604,0.827,1,-3.414,0,0.0534,0.345,0.0,0.299,0.816,167.92,127500,4,Brazilian Funk
0.673,0.503,2,-9.354,1,0.171,0.367,1.07e-05,0.174,0.766,86.471,133384,5,Brazilian Funk
0.693,0.577,1,-8.092,1,0.583,0.524,0.0,0.127,0.406,127.207,241890,4,Brazilian Funk
0.819,0.682,7,-4.874,0,0.217,0.0709,1.22e-05,0.144,0.503,92.013,186476,4,Brazilian Funk
0.636,0.762,10,-2.832,0,0.0805,0.208,0.000586,0.0808,0.0755,129.777,134958,4,Brazilian Funk
0.754,0.527,8,-5.199,0,0.395,0.75,0.0,0.197,0.692,72.909,144000,5,Brazilian Funk
0.892,0.675,9,-2.275,1,0.074,0.0844,8.46e-06,0.334,0.412,130.048,132979,4,Brazilian Funk
0.866,0.885,6,-1.072,0,0.0451,0.565,0.00751,0.32,0.786,129.936,125769,4,Brazilian Funk
0.839,0.788,4,-4.725,0,0.168,0.104,0.00851,0.161,0.836,165.021,159765,4,Brazilian Funk
0.744,0.771,1,-4.188,1,0.0434,0.2,5.58e-05,0.0724,0.478,95.007,169597,4,Brazilian Funk
