ids,message
6s1kzj4EbhFLXbuAGJbhbn,Brazil
1YlfGwNizEKy299l1PVggn,Brazil
1wubETHu3SeJHfbz9itEH0,Brazil
3JLhwgadVkN8zckxL1ICrI,Brazil
7l9Tq5phzkLnhWUyfp702G,Brazil
4TnEIYOXZ9KBGHOIqG5Xs5,Brazil
2Doe6AaIpyDy4JvFTsxSDn,Brazil
3H7eBmcTJyuEMStfmKuLmG,Brazil
5sKGmZDmkGwFed5dPpZpZL,Brazil
3EJfFRgtbIYzBQdlc6PO9V,Brazil
1NcqLEg2r2LXqMVbam2BJD,Brazil
4jUZymsR3lkia9wkP0o9cX,Brazil
5CtXR89REICvEZljUEK8r1,Brazil
5aMgTcyBPH90hWHhbNKTwR,Brazil
7BLjPZwgbxQSLZ4rWbboJY,Brazil
0Y7k2ihn4ojGCbJkH1fR77,Brazil
2KdyhL41F9solmRiyLQ3yl,Brazil
1G09TYdafWOnFnSQvJzePM,Brazil
5rHhO6SBSzo3E9m3KHyCtt,Brazil
3ODUgIaqdpkMXXlsH1kDLh,Brazil
6FllOXq1UDCFDt1V4YvN3K,Brazil
38iEdsxEaSPB8ayDG9pHht,Brazil
2kFaWbpzQzpaJ0H6PskR6k,Brazil
4ssHL7bSnOAE7HjiuLx6Co,Brazil
6ukVCqH77f6cwRHyJBhGgy,Brazil
4dvHZesL5UKzfJnFH5bm3g,Brazil
6X6jKoyw1OjogRghMEQAZV,Brazil
3DAlIobCDPVvUkyDZv5oVp,Brazil
0bPP5cDG1ZnbAVCEa3ZbQ1,Brazil
65vJAh07BdwurqR9SRa6f8,Brazil
6AkH5FrS2GJjrdtXY5dk1G,Brazil
0S7o4sti5I5CAbbotTUzTM,Brazil
13KLZ8VI9P7H7bxs0vtsXC,Brazil
6gjsnEQxLqVkieeloQTozN,Brazil
6m51sam9gIqRMbJEKW4ADe,Brazil
6u9tu5yRDTHpWlY86J1GDa,Brazil
02I0Nm97YdmZ8teGFcIHEy,Brazil
2SFcDfkE1MRXZfl4LIwscm,Brazil
0w7vodPWFEcuEYvWpbNbOu,Brazil
07ceTL2BIlnI5jWxceZz9d,Brazil
7pkpWcko6KEZANj0xKsCsu,Brazil
1cIS13bqNfZcTs8LSK8r0a,Brazil
68qzO9uhrv6zwONksdHYuj,Brazil
0GbvYZsvz7bWyijBDESebX,Brazil
0A9W68xaI8QohYFFRStVnD,Brazil
6mTpK40yIRk1xGGNvRMHGg,Brazil
6RjSXi9cPGroetXeNsWFGL,Brazil
3Na9gwLmFdEJH2l54AYwpk,Brazil
7Elw15XWLpOi4qzHyAwa9e,Brazil
5rHhO6SBSzo3E9m3KHyCtt,Brazil
7pkpWcko6KEZANj0xKsCsu,Brazil
1wubETHu3SeJHfbz9itEH0,Brazil
7l9Tq5phzkLnhWUyfp702G,Brazil
7f1tZNtc1t456ybBsl5sfK,Brazil
3EJfFRgtbIYzBQdlc6PO9V,Brazil
5sKGmZDmkGwFed5dPpZpZL,Brazil
3JLhwgadVkN8zckxL1ICrI,Brazil
0KDxhAvKeiVFL1bZccQVJs,Brazil
3Na9gwLmFdEJH2l54AYwpk,Brazil
2KdyhL41F9solmRiyLQ3yl,Brazil
3Bkw2nrO4vXwql6BBDH5pq,Brazil
6ukVCqH77f6cwRHyJBhGgy,Brazil
2ThEetsRrVOEoCNpoFVDjM,Brazil
7CutNxjzAKbs7EhBAlnRJt,Brazil
0BvzY9PCRufFPt51fvnhOI,Brazil
4dvHZesL5UKzfJnFH5bm3g,Brazil
0ikHh6vrN2RcCANXwRnMHx,Brazil
2WEhFQZBJqgY3MBTxK9r10,Brazil
1NcqLEg2r2LXqMVbam2BJD,Brazil
3whfTX0NBHhjynUlARMf7q,Brazil
2lhTndwmmoMqMq8SSDfwbU,Brazil
38MiIYlhGASln9jXnOmX04,Brazil
1tAls12jSoUZPoj9cv7OAh,Brazil
5qMyN3dzXKb5P1MiKyqupZ,Brazil
0GbvYZsvz7bWyijBDESebX,Brazil
1cIS13bqNfZcTs8LSK8r0a,Brazil
6u9tu5yRDTHpWlY86J1GDa,Brazil
6mTpK40yIRk1xGGNvRMHGg,Brazil
1Ms6NNsLMqdC5v1qE3d89p,Brazil
4A59ygOlOd3V0GbyEmUxKs,Brazil
5QpcLTQjh0qO7OIuR9q8IR,Brazil
0WiJIa3V9GdcJfcy1FhLjp,Brazil
1WHDOr19zyyqu6XXIvdgfX,Brazil
6X6jKoyw1OjogRghMEQAZV,Brazil
5cdheFwwvj4mi3oJmTynKA,Brazil
2DtHi3V76ntRw1RIKgYMfe,Brazil
0pK0Vd1MCWy7AmsyFfIJb8,Brazil
2ORC76autQ7QTfBCkZl4Wo,Brazil
0HDMisLsuGNml98Xq7atpm,Brazil
1VbunACv3Z4cGfBenC7oTx,Brazil
18Ap6Yh17R9Qrs7LdOvkW2,Brazil
6hNREzgHbVM5AkGwP4SPmU,Brazil
0aGBJDgysbTnnE27oYkx0N,Brazil
5DcysyjaPrLzXgDauvzvn6,Brazil
1ZtgnRr4uKMOoCzP4vnQDl,Brazil
73SIgqXr3oRzzWbX1muX3I,Brazil
2K9kZpwD2CzTa6iiSYYOoO,Brazil
513hO8ivMCeHoV25e1ivOa,Brazil
1sTGINNEM4sT3H2hDdQiPe,Brazil
1YlfGwNizEKy299l1PVggn,Brazil
5cwtADIfwSm2FDwKqUMwL9,Brazil
65vJAh07BdwurqR9SRa6f8,Brazil
6ycaCm185cxHgc6ZAGgoMV,Brazil
7Elw15XWLpOi4qzHyAwa9e,Brazil
4WBuYFw26LcnSuScYQiVNH,Brazil
1ZyrfB6T0Cm9wFXAjJQQWE,Brazil
07BRm4ATW5VXnpUagfVJhs,Brazil
6sWrtSw5H8crwA6fR4dyFb,Brazil
2CU2o0jyWO8xq0TiJPXZ6y,Brazil
7hhyEKCjqPioAuQBmBZDnr,Brazil
5G2BT0ajtZQNy6FMDA5u8P,Brazil
2jpbtp5N679x92uB8s8p9h,Brazil
3GZJc4YW0uIL9OA5kevKKu,Brazil
3FuANNd94eZA4iR9jNxj7F,Brazil
2ZWxngKhr90tiStZ2LUWQ8,Brazil
6KqDX602MYtNGTbSpSzNxd,Brazil
6styQIEeflfqXDljJLzcen,Brazil
3hXCANK2ys6D2HZE3kuDfz,Brazil
67hKgDUbY3ktUK241L94d7,Brazil
06WkQibI8OhOLjDxIRKu5B,Brazil
6FllOXq1UDCFDt1V4YvN3K,Brazil
2nNxtJ8Ce702sXXbVBwvW6,Brazil
4f0aDk7HX37SfzerfznYlr,Brazil
5vDSHedLkLx5RkfUGyGjno,Brazil
0SzZVQw0tEazwNko6bdKwS,Brazil
3yfyLXDTocoMDx4LITrX4q,Brazil
0kIhdc2rN4TCBzvZ1MtVmz,Brazil
1xwvLAIPpG8qQJyWRLi4F3,Brazil
3vCH7bgO37Cx4dOIUlX9sv,Brazil
4yz7AL8Ym6DkRlnekiA8vM,Brazil
0I0WaeHgXRRA9sP2LOLoE4,Brazil
7AZPao1jegnylQcnDfNBxl,Brazil
66KlcaDo2PlaFpumUHVG0W,Brazil
0D2BtpuZbS42zp2MbFRBMk,Brazil
7HQt6qA0i9f5omgP7YqDlL,Brazil
3VFsBiWWSXWggPrGHVpYIO,Brazil
1MMZ7oNHMGrKyW7b5VkMTL,Brazil
2cicREalc7LMXuXlGLeKVw,Brazil
1r7Ik46RmpvfQAfBu40No6,Brazil
3nKNLeDJowBgJfPLX2TNRT,Brazil
1hZvCkJD0XTfJpdgOBQnPY,Brazil
3Ec06k61M8q8fZOrZXh7rp,Brazil
50WVziJRbmuWWry76Y3DAN,Brazil
5eMQVA6iz94w9D4VvRCrEy,Brazil
5PPSwWj6K4zXM9bWJTazwE,Brazil
2W3qpiaZx5fhMOIAmMmaH3,Brazil
6kHf0Ax9bvwziqZgo948dP,Brazil
664sTugsU30HsYEwGfmv0C,Brazil
1FXsQVnXbvUOYmshXgLdbk,Brazil
4tjE5KCgw98VypSqtVCh3W,Brazil
7dI9v9Wh3gFDX6QgcCbCGX,Brazil
3L2nBtkcFL5lzu2U6ipBnG,Brazil
4BDs9fF4g52VQjVRsNAP6E,Brazil
4GJs1j7djCRBS7mns7T6ze,Brazil
5LVslathYyvcV1EalFex6q,Brazil
12yVY2xQx6QMFEC0jPLd1K,Brazil
6TOIvW7Lovc21ES6E8aFHD,Brazil
7q048XA5ojnxTDu7iqekIW,Brazil
5lHwUy7CYKwn7oWzzdGBgK,Brazil
